headword	headword_pos	category	relation	collocation	normalized_collocation	confidence	_source_file	_target_hint	headword_norm	collocation_norm	confidence_score	quarantine_reason
achievement	noun	ADJ	adjective_modifier	intellectual Suc	intellectual suc	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	achievement	intellectual suc	0.9	noise_or_fragment_filter
action	noun	ADJ	adjective_modifier	urgent} drastic	urgent} drastic	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	action	urgent} drastic	0.9	noise_or_fragment_filter
addition	noun	ADJ	adjective_modifier	contact Please leave	contact please leave	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	addition	contact please leave	0.9	noise_or_fragment_filter
admiration	noun	ADJ	adjective_modifier	sneaking Inwardly	sneaking inwardly	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	admiration	sneaking inwardly	0.9	noise_or_fragment_filter
advantage	noun	ADJ	adjective_modifier	__ relative	__ relative	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	advantage	__ relative	0.9	noise_or_fragment_filter
affair	noun	ADJ	adjective_modifier	handle Many people have	handle many people have	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	affair	handle many people have	0.9	noise_or_fragment_filter
afternoon	noun	ADJ	adjective_modifier	‘late	‘late	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	afternoon	‘late	0.9	noise_or_fragment_filter
alien	noun	ADJ	adjective_modifier	enemy During the war	enemy during the war	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	alien	enemy during the war	0.9	noise_or_fragment_filter
amount	noun	ADJ	adjective_modifier	copious ~s	copious ~s	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	amount	copious ~s	0.9	noise_or_fragment_filter
antipathy	noun	ADJ	adjective_modifier	etc. legends from Greek antiquity	etc. legends from greek antiquity	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	antipathy	etc. legends from greek antiquity	0.9	noise_or_fragment_filter
appearance	noun	ADJ	adjective_modifier	guest [ court	guest [ court	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	appearance	guest [ court	0.9	noise_or_fragment_filter
area	noun	ADJ	adjective_modifier	play } no smoking	play } no smoking	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	area	play } no smoking	0.9	noise_or_fragment_filter
arena	noun	ADJ	adjective_modifier	wider Trades unions are	wider trades unions are	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	arena	wider trades unions are	0.9	noise_or_fragment_filter
army	noun	ADJ	adjective_modifier	national } private	national } private	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	army	national } private	0.9	noise_or_fragment_filter
arrest	noun	ADJ	adjective_modifier	house Fallawing the caup	house fallawing the caup	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	arrest	house fallawing the caup	0.9	noise_or_fragment_filter
atmosphere	noun	ADJ	adjective_modifier	lively Before the parade	lively before the parade	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	atmosphere	lively before the parade	0.9	noise_or_fragment_filter
attendance	noun	ADJ	adjective_modifier	turn How many times da	turn how many times da	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	attendance	turn how many times da	0.9	noise_or_fragment_filter
austerity	noun	ADJ	adjective_modifier	children’s Primarily a children’s author	children’s primarily a children’s author	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	austerity	children’s primarily a children’s author	0.9	noise_or_fragment_filter
award	noun	ADJ	adjective_modifier	annual } national	annual } national	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	award	annual } national	0.9	noise_or_fragment_filter
bacon	noun	ADJ	adjective_modifier	crisp/crispy Fry the bacon untilcrisp	crisp/crispy fry the bacon untilcrisp	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	bacon	crisp/crispy fry the bacon untilcrisp	0.9	noise_or_fragment_filter
bag	noun	ADJ	adjective_modifier	etc.)	etc.)	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	bag	etc.)	0.9	noise_or_fragment_filter
baggage	noun	ADJ	adjective_modifier	polltical	polltical	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	baggage	polltical	0.9	noise_or_fragment_filter
ball	noun	ADJ	adjective_modifier	at a/the~	at a/the~	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	ball	at a/the~	0.9	noise_or_fragment_filter
beast	noun	ADJ	adjective_modifier	filthy You filthy beast!	filthy you filthy beast!	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	beast	filthy you filthy beast!	0.9	noise_or_fragment_filter
beauty	noun	ADJ	adjective_modifier	little Isn’t shea little beauty?	little isn’t shea little beauty?	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	beauty	little isn’t shea little beauty?	0.9	noise_or_fragment_filter
beef	noun	ADJ	adjective_modifier	tender [	tender [	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	beef	tender [	0.9	noise_or_fragment_filter
beef	noun	ADJ	adjective_modifier	please.’	please.’	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	beef	please.’	0.9	noise_or_fragment_filter
bench	noun	ADJ	adjective_modifier	subs’	subs’	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	bench	subs’	0.9	noise_or_fragment_filter
benefactor	noun	ADJ	adjective_modifier	wealthy [ great	wealthy [ great	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	benefactor	wealthy [ great	0.9	noise_or_fragment_filter
biology	noun	ADJ	adjective_modifier	modern =>	modern =>	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	biology	modern =>	0.9	noise_or_fragment_filter
bomb	noun	ADJ	adjective_modifier	stra:	stra:	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	bomb	stra:	0.9	noise_or_fragment_filter
boredom	noun	ADJ	adjective_modifier	re- } lieve	re- } lieve	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	boredom	re- } lieve	0.9	noise_or_fragment_filter
bounce	verb	ADJ	adjective_modifier	(in) honour	(in) honour	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	bounce	(in) honour	0.9	noise_or_fragment_filter
bowel	noun	ADJ	adjective_modifier	pour (sb)	pour (sb)	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	bowel	pour (sb)	0.9	noise_or_fragment_filter
bully	noun	ADJ	adjective_modifier	real Leave him alone	real leave him alone	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	bully	real leave him alone	0.9	noise_or_fragment_filter
cab	noun	ADJ	adjective_modifier	yellow London black cab drivers	yellow london black cab drivers	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	cab	yellow london black cab drivers	0.9	noise_or_fragment_filter
calm	noun	ADJ	adjective_modifier	i} dead	i} dead	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	calm	i} dead	0.9	noise_or_fragment_filter
carpet	noun	ADJ	adjective_modifier	worn [ pa’ terned	worn [ pa’ terned	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	carpet	worn [ pa’ terned	0.9	noise_or_fragment_filter
carriage	noun	ADJ	adjective_modifier	full } empty	full } empty	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	carriage	full } empty	0.9	noise_or_fragment_filter
cassette	noun	ADJ	adjective_modifier	blank } bootleg	blank } bootleg	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	cassette	blank } bootleg	0.9	noise_or_fragment_filter
casualty	noun	ADJ	adjective_modifier	light } pedestrian	light } pedestrian	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	casualty	light } pedestrian	0.9	noise_or_fragment_filter
cause	noun	ADJ	adjective_modifier	give (sb)	give (sb)	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	cause	give (sb)	0.9	noise_or_fragment_filter
cell	noun	ADJ	adjective_modifier	nun’s	nun’s	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	cell	nun’s	0.9	noise_or_fragment_filter
ceremony	noun	ADJ	adjective_modifier	wreath-laying the Japanese tea ceremony	wreath-laying the japanese tea ceremony	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	ceremony	wreath-laying the japanese tea ceremony	0.9	noise_or_fragment_filter
champion	noun	ADJ	adjective_modifier	Olympic the Olympic skatins champion	olympic the olympic skatins champion	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	champion	olympic the olympic skatins champion	0.9	noise_or_fragment_filter
charm	noun	ADJ	adjective_modifier	but Iwouldn’t trust him	but iwouldn’t trust him	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	charm	but iwouldn’t trust him	0.9	noise_or_fragment_filter
citizen	noun	ADJ	adjective_modifier	naturalized Italian	naturalized italian	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	citizen	naturalized italian	0.9	noise_or_fragment_filter
clinic	noun	ADJ	adjective_modifier	health } special	health } special	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	clinic	health } special	0.9	noise_or_fragment_filter
coach	noun	ADJ	adjective_modifier	driver [	driver [	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	coach	driver [	0.9	noise_or_fragment_filter
comment	noun	ADJ	adjective_modifier	brief } falr	brief } falr	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	comment	brief } falr	0.9	noise_or_fragment_filter
common sense	noun	ADJ	adjective_modifier	simple [ practical	simple [ practical	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	common sense	simple [ practical	0.9	noise_or_fragment_filter
communism	noun	ADJ	adjective_modifier	revolutionary } hardline	revolutionary } hardline	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	communism	revolutionary } hardline	0.9	noise_or_fragment_filter
